id,claim,explanation,actual,predicted,correct,time_sec
0,Mindfulness Meditation May Cut IBS Symptoms,"Among several weaknesses in the story, the biggest was a failure to evaluate the quality of the evidence – a failure to help readers understand what this study might mean and what it might not mean. As we state below in our “Evidence” criterion: “We aren’t told if the symptom improvement is clinically meaningful. After all, IBS is a chronic condition and this is a short-term study. And most importantly, the reporting is confusing: “Changes in quality of life …..were not significantly different…. but all were much improved at the 3-month followup in the meditation group.”  And no explanation was given of how symptom changes were measured. Or what was meant by “all were much improved at the three-month followup.”  That’s a big weakness in the story.”  Many people are interested in non-medical approaches to improving health. Mindfulness meditation and other complemenary and alternative therapies, along with exercise and nutritional recommendations are of high interest. Mindfulness meditation and similar therapies are unlikely to have adverse effects and have the potential to be very low cost therapies. But this story didn’t give them enough about a very early, small study.",False,False,True,0.2113492488861084
1," Debbie Reynolds died one day after her daughter, Carrie Fisher. ",Debbie Reynolds Died One Day After Carrie Fisher–Truth!,True,True,True,0.16515135765075684
2,"Gangster John Dillinger's exceptionally large penis is housed in one of the Smithsonian museums in Washington, D.C.","In the 1988 Jay McInerney’s novel Story of My Life, we found this: “I remember I read somewhere that outlaw guy John Dillinger had one that was about a foot and a half long and it’s preserved in the Smithsonian or someplace. Now that’s what I call the Washington Monument.”",False,False,True,0.19951605796813965
3,The Bill and Melinda Gates Foundation was kicked out of India. ,"The Parliament of India released a report in 2013 that chastised PATH for “irregularities” with the studies. While the report recommend the government take action against PATH, this global health organization was never banned from India. In fact, as of this writing, both PATH and the Gates Foundation continue to work in the country.",False,True,False,0.1603541374206543
4,China defends against incoming second wave of coronavirus.,"A growing number of imported coronavirus cases in China risked fanning a second wave of infections when domestic transmissions had “basically been stopped”, a senior health official said on Sunday, while eased travel curbs may also add to domestic risks.",True,False,False,0.20305275917053223
5,Novel 'patient-friendly' colonoscopy prep shows excellent efficacy and safety,"This release summarizes an investigational study on a ‘novel’ colonoscopy bowel preparation under development by a Massachusetts-based company. The release claims that the prep is a more palatable regimen that includes solid food bars and low-volume beverages. Researchers report that by the end of the Stage 2 clinical trial, the regimen was as safe and effective as two currently available colonoscopy prep formulations in cleaning out the colon, and, importantly, participating trial volunteers gave the preparation a high rating. The release did a good job of describing the study and quantifying benefits. The existing preps that the novel formulation was compared against were never mentioned and that seems an important omission. The release also didn’t provide enough details about harms, or a ballpark cost estimate, which it seems reasonable to expect in almost all news releases. The study was presented at the American College of Gastroenterology’s 2016 annual meeting. The standard bowel preparation and prolonged fasting required to ensure a clean viewing field for the gastroentologist is daunting and has been suggested as a limiting factor in acceptance. For those approaching the magic age,  Dave Barry’s 2009 article in the Miami Herald provides a humorous look at this screening procedure. But the reality is that colon cancer is the second leading cause of cancer death in the United States and individuals should have a discussion about the benefits and risks of the procedure. The US Preventive Services Task Force recommends screening for colorectal cancer using fecal occult blood testing, sigmoidoscopy, or colonoscopy in adults, beginning at age 50 years and continuing until age 75 years. Should the prep described in the release hold up throughout the clinical trial process, it may be welcomed by individuals facing a colonoscopy.",Misleading,True,False,0.20304608345031738
6,"""Singer """"Mama"""" Cass Elliot experienced an increase in her vocal range after she was hit in the head by a pipe.""","Although the “knocked in the head with a pipe” tale may not have originated as a television sitcom plot, it featured the upbeat, positive ending of one: Even the reluctant John Phillips eventually acknowledged the value of Cass Elliot’s vocal abilities and personality, and she was a key element in the tremendous popularity and success that followed as the Mamas and the Papas turned out a string of hit records in the mid-1960s.",False,False,True,0.2019515037536621
7,"In 1862, Abraham Lincoln ordered the execution by hanging of 38 Dakota Sioux fighters.","What's true: Lincoln approved the execution of 39 Dakota men convicted by a military commission of perpetrating massacres during the Dakota War of 1862. What's false: The military commission had sentenced 303 Dakota fighters to death, but Lincoln commuted 264 of those sentences despite threats of mob violence and intense pressure to reverse his decision.",Misleading,False,False,0.20014524459838867
8,"""Under certain conditions, lionesses can grow manes and develop """"masculine behavior"""".""","According to New Scientist, this is not an active area of research — so it may be some time before we have more answers about the origin of the phenomenon.",True,False,False,0.19893264770507812
9,China defends against incoming second wave of coronavirus.,"A growing number of imported coronavirus cases in China risked fanning a second wave of infections when domestic transmissions had “basically been stopped”, a senior health official said on Sunday, while eased travel curbs may also add to domestic risks.",True,False,False,0.20894932746887207
