id,tweet,actual,predicted,time_sec,correct
450,big surge in New Zealand. It's terrible. We don't want that.,False,False,0.3869631290435791,True
3374,A coronavirus case was confirmed in the Istanbul Medical School Hospital.,False,True,0.1205906867980957,False
2245,RT @Surgeon_General: Many communities &amp; businesses are requiring people to wear a face covering as a way to protect workers and other custo…,True,True,0.1247866153717041,True
2833,Coronavirus: Number of UK cases rises by 3330 https://t.co/36zG17hmeP,True,True,0.12047791481018066,True
6058,RT @drharshvardhan: #CoronaVirusUpdates ! 👉New recoveries in India have exceeded the new cases for the last six days 👉The total number of…,True,True,0.12032198905944824,True
5796,Runny nose and coughing sputum are not symptoms of COVID-19.,False,True,0.11936068534851074,False
6037,The U.S. has performed millions of coronavirus tests but returning the nation to its normal life will require far more. https://t.co/OzxSXTqvSt,True,True,0.12070155143737793,True
3188,The Committee will engage with all the stakeholders including State governments and vaccine manufacturers. @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @COVIDNewsByMIB @CovidIndiaSeva @ICMRDELHI @NITIAayog @PTI_News @ANI,True,False,0.37442588806152344,False
3320,Image and statement from the Prime Minister of Italy.,False,False,0.3629617691040039,True
5743,#COVID19 Best Practices: Uttar Pradesh establishes Integrated COVID Control &amp; Command Centre and a Unified State COVID Portal https://t.co/FEcL52prQH @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @COVIDNewsByMIB @CovidIndiaSeva @mygovindia,True,False,0.3604745864868164,False
2922,"The virus does not settle in the air but is grounded, so it is not transmitted by air.",False,True,0.12086081504821777,False
3705,"For our #coronawarriors
#CoronavirusIndia #IndiaFightsCorona 
@narendramodi 
We are United , and we will fight against such #ChineseVirus 
#ChinaIndiaFaceoff #BoycottMadeInChina #BoycottChineseProduct 
Are u with me?! https://t.co/B6M4WT1ece",False,False,0.36440610885620117,True
1169,The Nobel Prize winner for inventing the PCR method says it is not suitable for virus detection.,False,False,0.36347198486328125,True
4483,"Claim that ""there is no"" COVID-19 virus.",False,False,0.3627936840057373,True
2703,India to go on a lockdown in next five days,False,False,0.3696165084838867,True
3412,"These Helpless People are not Tablighis ,They are Poor Hindus Who are Stranded due to Lockdown .Has any TV Chanel discussed This .",False,True,0.1278533935546875,False
4053,As of today there are 3793 active #COVID19 cases in #Ahmedabad district #Gujarat: https://t.co/giAlsS3XD7 @MoHFW_INDIA @drharshvardhan @DrHVoffice @CMOGuj @dgpgujarat #COVID__19 #Covid_19 #COVIDー19 #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/CaKYP6Cce9,True,False,0.3593146800994873,False
1090,Coronavirus: People co-infected with flu and COVID-19 have 'far greater risk of death' https://t.co/WH5GKjF3Kh,True,True,0.12297797203063965,True
5218,"@Chancine @Co_Immunity_ @alexkx3 @BallouxFrancois I cited a retrovirus journal written by professors. Flu vaccines do not contain any coronaviruses because they would kill dog cell lines. Judy Mikovits' claims are complete medical misinformation/disinformation, since she has been a discredited scientist since 2011. https://t.co/g3UiDZr5sX",False,False,0.3645138740539551,True
4666,Some Points About The Coronavirus and Tax Refunds That Trump Is Telling His Republican Supporters https://t.co/D718kev98y #donaldtrump,False,True,0.1199028491973877,False
3118,"BREAKING: Trump announced the U.S. is officially leaving the World Health Organization in the middle of a pandemic.

WHO is currently coordinating international vaccine and drug trials to fight #Covid19 https://t.co/UTIpDjDHye#covid19 #coronavirus #coronavirusupdate",False,False,0.3596336841583252,True
3377,"BREAKING! After 'loss of taste' is added to list of Coronavirus symptoms, government advises self-isolation for anyone who has recently enjoyed an episode of Mrs Brown's Boys",False,True,0.12176275253295898,False
1008,the treatment for coronavirus is mentioned in an Intermediate Zoology book. The viral forward reads: “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books.,False,True,0.12050127983093262,False
2587,Sinclair Broadcast Group is delaying airing an interview with a conspiracy theorist who baselessly claims Dr Fauci created the coronavirus https://t.co/RYcTQLNHwS,False,False,0.36269712448120117,True
1740,This week’s COVIDView reports early indications that levels of #COVID19 illnesses while still low may be increasing slightly in parts of the United States. Hospitalization rates and deaths are still trending down. Learn more: https://t.co/zP4VYlo0Pb. https://t.co/agqKuEaufY,True,True,0.11913394927978516,True
3915,Misleading claims about COVID-19 vaccine spread by ‘Plandemic’ video,False,True,0.11916303634643555,False
2434,At the peak in New York on April 15 that state hit 595 cases per million. Arizona (580) *and* Louisiana (568) approached that number today. https://t.co/MxvPqIC43k,True,True,0.1187894344329834,True
984,Chanel's Latest Perfume Post Coronavirus Life--L' Amor Avec Hand Sanitizer https://t.co/eJODjNJ5rv #coronavirus #perfume #aphrodisiac,False,True,0.11844635009765625,False
2142,NEWS! Nigel Farage to teach kids climate change denial for ‘balance’ in BBC Lockdown Learning Scheme https://t.co/kiLDWF1TNj https://t.co/7rhsHm9EbQ,False,False,0.35605669021606445,True
1354,We are now in the process of establishing a consensus on the international allocation of these products. But the ACT Accelerator will not be able to deliver on its goals without a significant increase in funding-@DrTedros #COVID19,True,True,0.11787962913513184,True
1500,“Yesterday we conducted the highest number of #COVID19 tests &amp; recorded the highest number of positive cases in #Nigeria We have also deployed 15 rapid response teams to support 15 states This is the largest deployment of resources ever for an outbreak in #Nigeria” ~ @Chikwe_I https://t.co/xYGPQov23e,True,True,0.11933302879333496,True
3051,Update from the @minhealthnz Today there are no new cases of COVID-19 to report in New Zealand.​⁣ ​⁣ It has now been 82 days since the last case of COVID-19 was acquired locally from an unknown source. The total number of active cases in New Zealand remains at 27.​⁣,True,True,0.11873769760131836,True
5911,@NateSilver538 WA also a usable example simply because the data is gloriously solid relatively speaking. (OTOH one other shade to this data: they hit a testing wall which might be part of the flatter trend. Happy to discuss if you are interested.) -@alexismadrigal,True,True,0.11932921409606934,True
3993,The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks.,False,False,0.3585820198059082,True
6057,RT @CDCDirector: We do not know yet if the antibodies can protect you from #COVID19 reinfection. Regardless of your antibody test results…,True,True,0.1193840503692627,True
1788,"This is Actual BUDGET....!! All Packages put forward in PS is now Shown in ""Glittering CORONA lighting stage'..!! @PMOIndia @nsitharaman ..Hope it may reach d end users..!! @NITIAayog https://t.co/HC0C8IUBo6 https://t.co/ryrgoG5sXW",False,False,0.35692882537841797,True
2363,A video of a young man from Gujarat claiming he has found a medicine that cures COVID-19.,False,True,0.11695551872253418,False
5897,The fire incident at Rohini flyover in Delhi India is caused by hand sanitiser.,False,False,0.3560452461242676,True
