id,tweet,actual,predicted,time_sec,correct
721,Bhutan has zero COVID-19 cases thanks to its vegetarian diet.,False,False,0.3836662769317627,True
3563,"We wanted to know if there was any science to back up the ""contagion probability"" graph. Wearing a mask is likely to interfere with the spread of COVID-19. But the exact percentages in this social media image don’t hold up to scrutiny. @KHNews https://t.co/EcB958GTt8 https://t.co/Mj1DIoAs1g",False,True,0.11856436729431152,False
5521,Protective masks will be five time more expensive in French tobacconists than in Spanish shops.,False,False,0.3525199890136719,True
1995,Coronavirus: Care homes 'widely exposed' as COVID-19 'begins to move in' https://t.co/wjw9Od8KaZ,True,True,0.11753392219543457,True
4034,"@MarshaBlackburn 2)If genetic manipulation had been performed, one of the several reverse-genetic systems available for betacoronaviruses would probably have been used. However, the genetic data irrefutably show that SARS-CoV-2 is not derived from any previously used virus backbone",False,True,0.12290835380554199,False
289,"It puts the facemask on the skin, or it gets the lockdown again

Get yours HERE &gt;&gt;&gt; https://t.co/UMG2Y6AF0k https://t.co/S7xZsWTKib",False,False,0.35212087631225586,True
1574,Even with such high daily testing levels daily Positivity Rate is below 7.5% while cumulative Positivity Rate is less than 8.5%. This reflects that the Centre-led strategy of TEST TRACK TREAT is being effectively implemented by most of the States/UTs. @ICMRDELHI @COVIDNewsByMIB,True,True,0.11941385269165039,True
4423,As @WHO declares the outbreak of novel coronavirus a global health emergency fact checkers have been debunking dubious photos and videos which purport to show people fainting from the virus in public. https://t.co/VoMwvpRlxN #CoronaVirusFacts #DatosCoronaVirus via @factchecknet,False,False,0.358823299407959,True
1161,#CoronaVirusUpdates #IndiaFightsCorona India touches a new peak of 719364 tests in a day taking cumulative testing to 24106535. With highest single day #COVID19 recoveries of 53879 Recovery Rate improves to 68.78% today. https://t.co/0DJNh0rtwn https://t.co/RvdweLD9tk,True,False,0.35546445846557617,False
5304,You had all of lockdown to read me and you still have not read a page https://t.co/H5R6igPMa9,False,False,0.3510420322418213,True
1896,RT @drharshvardhan: #COVID UPDATE In its fight against COVID-19 since January 2020 India has crossed another peak. The cumulative tests h…,True,False,0.35082077980041504,False
1515,When should you wear a mask? Wear a mask when you are in a public setting especially when it is difficult stay 6 feet away from others not living in your household. Learn more at: https://t.co/unpwzlB7xU. https://t.co/ufDtOthh6X,True,True,0.12025570869445801,True
2919,Returning to today's data. States reported ~21k new cases. 18 states reported over 400 new cases. https://t.co/TKm1V6aCT2,True,True,0.12057995796203613,True
5037,We just announced that we have concluded advanced exploratory talks with the European Commission to supply 80 million doses of mRNA-1273. Read more here: https://t.co/mRNWi2ffPh https://t.co/Q83RYHphmH,True,False,0.35784339904785156,False
1761,#WestVirginia has a low infection growth rate - each person is infecting less than one other person so the total number of cases is shrinking. The positive test rate is low suggesting widespread testing. ICU use is low suggesting a capacity to handle new COVID infections. https://t.co/R4qFhizdw5,True,True,0.11866211891174316,True
